巴戟天	覆盆子	26
巴戟天	甘松	1
巴戟天	葛根	1
巴戟天	骨碎补	5
巴戟天	广金钱草	2
巴戟天	桂枝	2
巴戟天	海金沙	1
巴戟天	何首乌	14
巴戟天	红参	15
巴戟天	红花	4
巴戟天	厚朴	1
巴戟天	胡芦巴	7
巴戟天	花椒	8
巴戟天	黄柏	12
巴戟天	黄连	1
巴戟天	黄芪	55
巴戟天	黄芩	3
巴戟天	鸡血藤	3
巴戟天	蒺藜	4
巴戟天	姜黄	1
巴戟天	韭菜子	16
巴戟天	菊花	8
巴戟天	款冬花	1
巴戟天	龙眼肉	6
巴戟天	罗汉果	1
巴戟天	马钱子	1
巴戟天	麦冬	22
巴戟天	墨旱莲	3
巴戟天	牡丹皮	15
巴戟天	木瓜	7
巴戟天	木通	1
巴戟天	木香	7
巴戟天	南五味子	1
巴戟天	女贞子	14
巴戟天	蒲公英	1
巴戟天	羌活	3
巴戟天	青蒿	1
巴戟天	青皮	2
巴戟天	人参	51
巴戟天	肉苁蓉	69
巴戟天	肉桂	31
巴戟天	乳香	5
巴戟天	三七	6
巴戟天	砂仁	18
巴戟天	山楂	4
巴戟天	山茱萸	41
巴戟天	蛇床子	20
巴戟天	石菖蒲	15
巴戟天	石斛	3
巴戟天	锁阳	31
巴戟天	檀香	1
巴戟天	天冬	18
巴戟天	威灵仙	2
巴戟天	乌药	1
巴戟天	五加皮	1
巴戟天	五味子	43
巴戟天	西洋参	1
巴戟天	夏枯草	2
巴戟天	仙茅	17
巴戟天	小茴香	17
巴戟天	续断	19
巴戟天	玄参	1
巴戟天	延胡索	1
巴戟天	益母草	4
巴戟天	益智	2
巴戟天	薏苡仁	1
巴戟天	茵陈	1
巴戟天	淫羊藿	62
巴戟天	玉竹	1
巴戟天	远志	24
巴戟天	月季花	1
巴戟天	皂角刺	1
巴戟天	泽泻	17
巴戟天	浙贝母	1
巴戟天	知母	8
巴戟天	栀子	1
巴戟天	枳壳	2
巴戟天	枳实	1
白扁豆	白及	1
白扁豆	白前	1
白扁豆	白芍	10
白扁豆	白术	50
白扁豆	白芷	7
白扁豆	百合	2
白扁豆	半夏	4
白扁豆	半枝莲	1
白扁豆	薄荷	4
白扁豆	北沙参	8
白扁豆	槟榔	12
白扁豆	补骨脂	3
白扁豆	苍术	11
白扁豆	草豆蔻	2
白扁豆	柴胡	8
白扁豆	车前草	2
白扁豆	车前子	7
白扁豆	沉香	2
白扁豆	陈皮	37
白扁豆	赤芍	1
白扁豆	川贝母	6
白扁豆	川木通	2
白扁豆	川芎	3
白扁豆	大黄	5
白扁豆	大枣	4
白扁豆	丹参	4
白扁豆	当归	9
白扁豆	刀豆	1
白扁豆	地黄	1
白扁豆	丁香	9
白扁豆	豆蔻	7
白扁豆	独活	2
白扁豆	防风	5
白扁豆	防己	2
白扁豆	甘松	2
白扁豆	干姜	1
白扁豆	高良姜	4
白扁豆	葛根	6
白扁豆	瓜蒌	1
白扁豆	广藿香	19
白扁豆	桂枝	1
白扁豆	何首乌	1
白扁豆	厚朴	18
白扁豆	胡黄连	1
白扁豆	化橘红	2
白扁豆	黄柏	3
白扁豆	黄连	9
白扁豆	黄芪	7
白扁豆	黄芩	3
白扁豆	积雪草	1
白扁豆	姜黄	2
白扁豆	芥子	1
白扁豆	金银花	2
白扁豆	荆芥	5
白扁豆	苦参	3
白扁豆	苦杏仁	6
白扁豆	莱菔子	3
白扁豆	连翘	1
白扁豆	龙胆	1
白扁豆	芦荟	1
白扁豆	麻黄	1
白扁豆	麦冬	5
白扁豆	明党参	2
白扁豆	墨旱莲	1
白扁豆	牡丹皮	2
白扁豆	木瓜	6
白扁豆	木香	27
白扁豆	前胡	6
白扁豆	羌活	5
白扁豆	青蒿	1
白扁豆	青皮	6
白扁豆	人参	8
白扁豆	肉豆蔻	3
白扁豆	肉桂	4
白扁豆	桑白皮	4
白扁豆	桑叶	1
白扁豆	砂仁	23
白扁豆	山豆根	2
白扁豆	山楂	34
白扁豆	山茱萸	1
白扁豆	生姜	1
白扁豆	石菖蒲	2
白扁豆	石榴皮	1
白扁豆	使君子	3
白扁豆	苏合香	1
白扁豆	檀香	5
白扁豆	天冬	2
白扁豆	天花粉	3
白扁豆	乌药	3
白扁豆	吴茱萸	2
白扁豆	五味子	3
白扁豆	细辛	2
白扁豆	香薷	10
白扁豆	小茴香	3
白扁豆	薤白	1
白扁豆	延胡索	2
白扁豆	益母草	1
